issue_label,region,escalation_level,nuclear_risk,risk_index,risk_tier
Russia-Ukraine Conflict,Latin America,Severe,High,100.0,🔴 Critical
Venezuela-US Tensions 2026,Latin America,Severe,High,99.8,🔴 Critical
Russia-Ukraine Conflict,East Asia,Severe,High,99.6,🔴 Critical
Venezuela-US Tensions 2026,Latin America,Severe,High,99.2,🔴 Critical
Russia-Ukraine Conflict,East Asia,Severe,High,98.9,🔴 Critical
India-Pakistan Escalation 2025,East Asia,Severe,High,98.9,🔴 Critical
India-Pakistan Escalation 2025,Latin America,Severe,High,98.7,🔴 Critical
Korean Peninsula Risk,Middle East,Severe,High,98.4,🔴 Critical
Taiwan Strait Stability,Middle East,Severe,High,98.3,🔴 Critical
Taiwan Strait Stability,East Asia,Severe,High,96.4,🔴 Critical
India-Pakistan Escalation 2025,Middle East,Severe,High,95.9,🔴 Critical
Venezuela-US Tensions 2026,Eastern Europe,Severe,High,95.5,🔴 Critical
Israel-Arab Tensions,South Asia,Severe,High,95.5,🔴 Critical
Taiwan Strait Stability,Middle East,Severe,High,95.3,🔴 Critical
Russia-Ukraine Conflict,East Asia,Severe,High,95.3,🔴 Critical
Israel-Arab Tensions,Eastern Europe,Severe,High,95.0,🔴 Critical
Korean Peninsula Risk,Eastern Europe,Severe,High,94.9,🔴 Critical
Israel-Arab Tensions,South Asia,Severe,High,94.4,🔴 Critical
Russia-Ukraine Conflict,East Asia,Severe,High,94.2,🔴 Critical
India-Pakistan Escalation 2025,Eastern Europe,Severe,High,94.2,🔴 Critical
